iter	Passed	Remaining
0	46	46391
1	121	60631
2	203	67710
3	242	60455
4	283	56459
5	316	52415
6	352	50061
7	401	49823
8	455	50209
9	503	49857
10	593	53402
11	676	55701
12	725	55099
13	764	53810
14	834	54805
15	872	53687
16	907	52469
17	940	51301
18	974	50308
19	1000	49013
20	1027	47912
21	1076	47846
22	1116	47442
23	1192	48483
24	1271	49572
25	1365	51171
26	1438	51853
27	1482	51450
28	1511	50625
29	1560	50463
30	1597	49945
31	1633	49411
32	1660	48666
33	1684	47867
34	1706	47046
35	1732	46383
36	1755	45679
37	1778	45023
38	1803	44428
39	1829	43901
40	1850	43279
41	1880	42887
42	1907	42451
43	2081	45216
44	2162	45898
45	2231	46287
46	2295	46536
47	2339	46392
48	2388	46350
49	2436	46293
50	2486	46276
51	2548	46462
52	2601	46477
53	2619	45881
54	2650	45545
55	2674	45089
56	2717	44960
57	2752	44696
58	2780	44348
59	2811	44046
60	2844	43784
61	2868	43398
62	2903	43182
63	2935	42935
64	2955	42514
65	2975	42104
66	2994	41705
67	3014	41312
68	3035	40952
69	3135	41652
70	3180	41616
71	3248	41871
72	3277	41617
73	3308	41396
74	3339	41191
75	3369	40962
76	3401	40771
77	3432	40570
78	3459	40336
79	3478	40008
80	3501	39724
81	3526	39476
82	3546	39179
83	3564	38870
84	3591	38660
85	3612	38393
86	3636	38157
87	3669	38028
88	3702	37901
89	3726	37674
90	3787	37830
91	3841	37916
92	3928	38318
93	3965	38218
94	3993	38043
95	4017	37833
96	4053	37733
97	4075	37509
98	4109	37400
99	4134	37206
100	4163	37060
101	4195	36940
102	4225	36800
103	4253	36648
104	4398	37493
105	4483	37817
106	4518	37712
107	4569	37738
108	4663	38120
109	4740	38352
110	4763	38148
111	4804	38093
112	4829	37908
113	4860	37778
114	4891	37643
115	4921	37508
116	4998	37722
117	5048	37733
118	5086	37657
119	5132	37637
120	5162	37505
121	5188	37343
122	5212	37167
123	5241	37031
124	5271	36898
125	5296	36741
126	5324	36600
127	5354	36480
128	5381	36335
129	5407	36188
130	5439	36082
131	5462	35919
132	5486	35764
133	5516	35649
134	5557	35608
135	5595	35547
136	5634	35496
137	5672	35432
138	5702	35324
139	5726	35175
140	5767	35135
141	5793	35003
142	5818	34870
143	5849	34769
144	5880	34673
145	5909	34567
146	5934	34438
147	5957	34294
148	5985	34184
149	6310	35757
150	6411	36046
151	6506	36301
152	6602	36549
153	6695	36782
154	6790	37019
155	6844	37029
156	6943	37284
157	7002	37316
158	7074	37419
159	7112	37342
160	7200	37521
161	7269	37604
162	7377	37884
163	7442	37936
164	7493	37919
165	7537	37871
166	7588	37853
167	7628	37779
168	7676	37746
169	7706	37625
170	7739	37521
171	7912	38088
172	8006	38273
173	8051	38221
174	8081	38099
175	8116	38001
176	8145	37873
177	8192	37833
178	8228	37739
179	8253	37598
180	8279	37461
181	8306	37333
182	8362	37332
183	8408	37289
184	8446	37212
185	8489	37152
186	8556	37198
187	8594	37120
188	8615	36967
189	8639	36829
190	8658	36674
191	8689	36570
192	8717	36452
193	8742	36323
194	8765	36186
195	8800	36100
196	8823	35965
197	8850	35850
198	8871	35708
199	8888	35555
200	8906	35403
201	8921	35242
202	8936	35087
203	8954	34940
204	8971	34790
205	8989	34647
206	9002	34487
207	9020	34346
208	9036	34199
209	9052	34055
210	9068	33911
211	9084	33767
212	9101	33628
213	9117	33489
214	9134	33351
215	9152	33221
216	9168	33084
217	9188	32960
218	9204	32826
219	9244	32775
220	9277	32702
221	9310	32629
222	9350	32579
223	9385	32512
224	9429	32477
225	9465	32417
226	9507	32375
227	9534	32283
228	9574	32236
229	9604	32153
230	9643	32104
231	9679	32041
232	9713	31974
233	9750	31918
234	9785	31853
235	9800	31725
236	9822	31622
237	9838	31500
238	9859	31393
239	9879	31284
240	9915	31229
241	9944	31148
242	9978	31084
243	10005	31001
244	10037	30933
245	10077	30888
246	10118	30847
247	10155	30793
248	10198	30759
249	10220	30661
250	10241	30560
251	10260	30456
252	10279	30350
253	10296	30239
254	10316	30139
255	10330	30021
256	10346	29911
257	10363	29804
258	10385	29713
259	10401	29605
260	10413	29486
261	10432	29386
262	10447	29276
263	10467	29181
264	10480	29068
265	10496	28964
266	10510	28855
267	10528	28757
268	10547	28663
269	10571	28581
270	10593	28497
271	10618	28421
272	10646	28352
273	10668	28268
274	10693	28193
275	10735	28162
276	10766	28100
277	10794	28034
278	10812	27942
279	10833	27856
280	10854	27774
281	10875	27690
282	10897	27610
283	10921	27533
284	10944	27456
285	10978	27409
286	11001	27331
287	11022	27250
288	11053	27194
289	11075	27115
290	11091	27022
291	11108	26934
292	11124	26844
293	11141	26755
294	11159	26670
295	11177	26583
296	11194	26497
297	11210	26409
298	11231	26331
299	11261	26277
300	11279	26192
301	11296	26108
302	11314	26027
303	11329	25938
304	11346	25855
305	11364	25775
306	11406	25748
307	11820	26557
308	11899	26611
309	12057	26838
310	12088	26780
311	12136	26761
312	12198	26774
313	12282	26834
314	12344	26843
315	12399	26839
316	12499	26931
317	12523	26858
318	12547	26786
319	12583	26740
320	12699	26862
321	12785	26920
322	12884	27006
323	12931	26980
324	12986	26972
325	13033	26946
326	13078	26916
327	13123	26886
328	13172	26864
329	13205	26810
330	13245	26770
331	13281	26722
332	13359	26758
333	13402	26724
334	13440	26681
335	13476	26632
336	13520	26599
337	13564	26567
338	13622	26562
339	13673	26542
340	13740	26553
341	13794	26539
342	13847	26524
343	13883	26476
344	13939	26465
345	13971	26409
346	14038	26418
347	14070	26362
348	14118	26336
349	14219	26407
350	14310	26460
351	14408	26524
352	14466	26514
353	14575	26598
354	14674	26662
355	14915	26982
356	14970	26962
357	15054	26996
358	15094	26951
359	15159	26949
360	15198	26901
361	15354	27061
362	15507	27212
363	15551	27172
364	15584	27113
365	15703	27201
366	15781	27219
367	15819	27168
368	15857	27116
369	15912	27094
370	16003	27132
371	16088	27160
372	16135	27123
373	16183	27088
374	16223	27038
375	16291	27036
376	16411	27120
377	16483	27123
378	16538	27099
379	16596	27078
380	16651	27053
381	16717	27045
382	16813	27085
383	16894	27101
384	16942	27064
385	17022	27076
386	17083	27059
387	17143	27040
388	17190	27001
389	17239	26964
390	17292	26934
391	17324	26870
392	17409	26889
393	17473	26874
394	17516	26828
395	17561	26785
396	17688	26867
397	17723	26808
398	17772	26770
399	17826	26740
400	17876	26703
401	17935	26680
402	17989	26649
403	18052	26631
404	18093	26581
405	18168	26580
406	18198	26515
407	18369	26653
408	18411	26604
409	18467	26575
410	18499	26511
411	18549	26473
412	18581	26410
413	18628	26367
414	18693	26350
415	18748	26320
416	18822	26315
417	18899	26314
418	18953	26282
419	18992	26228
420	19022	26161
421	19066	26115
422	19100	26054
423	19134	25993
424	19175	25942
425	19233	25915
426	19263	25849
427	19298	25791
428	19343	25746
